epoch,accuracy,loss,val_accuracy,val_loss
0,0.7160000205039978,0.797069787979126,0.8149999976158142,0.3907508850097656
1,0.8389999866485596,0.3966924846172333,0.8962500095367432,0.2537030577659607
2,0.8799999952316284,0.28677284717559814,0.8887500166893005,0.28244465589523315
3,0.8989999890327454,0.2748859226703644,0.8787500262260437,0.3171719014644623
4,0.9079999923706055,0.2413443773984909,0.9049999713897705,0.2742202877998352
5,0.9319999814033508,0.16937878727912903,0.8525000214576721,0.47804954648017883
6,0.9419999718666077,0.178523451089859,0.8162500262260437,0.6993443369865417
7,0.9449999928474426,0.14863267540931702,0.8662499785423279,0.4451083242893219
8,0.9440000057220459,0.14379510283470154,0.8899999856948853,0.3400375247001648
9,0.9629999995231628,0.10211282968521118,0.8924999833106995,0.37415140867233276
